Ticker,Event_Date,Surprise_Pct,CAR_20d,Profitable_20d
TXRH,2020-08-03 16:00:00,19.74,0.11977932942729941,1
OLLI,2020-08-27 16:00:00,15.59,-0.17890517734968847,0
FIVE,2020-09-01 20:00:00,281.79,0.16320976412548716,1
RH,2020-09-10 06:00:00,24.1,0.14966070282707222,1
LII,2020-10-19 07:00:00,12.12,0.01383798619900145,1
TSLA,2020-10-21 18:00:00,25.78,0.06524949406011127,1
CROX,2020-10-27 07:00:00,33.58,0.09117663842851975,1
MSFT,2020-10-27 16:00:00,17.72,-0.052409536408570156,0
TXRH,2020-10-28 16:00:00,122.56,-0.03133335516462976,0
SFM,2020-10-28 16:00:00,37.84,-0.09309082841676142,0
CHDN,2020-10-28 16:00:00,59.26,0.05076501114384013,1
AAPL,2020-10-29 16:00:00,4.5,-0.015004171677657774,0
FND,2020-10-29 16:00:00,36.53,-0.029758712975485713,0
DECK,2020-10-29 16:00:00,32.8,-0.014515022682320189,0
CAKE,2020-10-29 16:00:00,11.94,0.09355922721733445,1
META,2020-10-29 16:00:00,41.95,-0.04370523822369499,0
WING,2020-11-02 07:00:00,0.49,-0.032323521217489826,0
QCOM,2020-11-04 16:00:00,22.83,0.15227693633588824,1
APPF,2020-11-09 16:00:00,1418.12,0.07311220302804633,1
FIVE,2020-12-02 16:00:00,82.18,0.046110921141015226,1
OLLI,2020-12-03 16:00:00,12.62,-0.08991926419322516,0
RH,2020-12-09 16:00:00,17.03,0.04218077924109831,1
MSFT,2021-01-26 16:00:00,23.99,0.05069527890711578,1
META,2021-01-27 16:00:00,21.43,-0.025870094524064968,0
AAPL,2021-01-27 16:00:00,18.67,-0.07117950701671494,0
TSLA,2021-01-27 16:00:00,-23.91,-0.20528408938884002,0
LII,2021-02-02 07:00:00,9.38,-0.02189588643975482,0
QCOM,2021-02-03 16:00:00,3.27,-0.18107044871621747,0
DECK,2021-02-04 16:00:00,27.17,0.07891525485425366,1
WING,2021-02-17 08:00:00,-21.53,-0.22882137463327767,0
CAKE,2021-02-17 16:00:00,-498.02,0.18792148181606538,1
TXRH,2021-02-18 16:00:00,-43.13,0.09584938121331987,1
CROX,2021-02-23 07:00:00,34.95,-0.08493403732676552,0
CHDN,2021-02-24 16:00:00,-30.17,0.06956531540453714,1
SFM,2021-02-25 16:00:00,48.72,0.24656517551234258,1
FND,2021-02-25 16:00:00,5.34,-0.004395958833342983,0
APPF,2021-03-01 16:00:00,-94.55,-0.15803177621476183,0
FIVE,2021-03-17 16:00:00,4.07,0.025256371696910862,1
OLLI,2021-03-18 16:00:00,14.3,-0.021022132912451807,0
RH,2021-03-24 16:00:00,8.17,0.3325245306417829,1
CHDN,2021-04-21 16:00:00,55.36,-0.13533841041723726,0
LII,2021-04-26 07:00:00,72.65,0.020675166062165684,1
TSLA,2021-04-26 16:00:00,19.42,-0.16371934397556964,0
CROX,2021-04-27 07:00:00,68.07,0.36259488324833844,1
MSFT,2021-04-27 16:00:00,9.67,-0.03929582929037023,0
QCOM,2021-04-28 02:00:00,14.09,-0.021312413110052608,0
WING,2021-04-28 07:00:00,42.08,0.008172237720753484,1
AAPL,2021-04-28 16:00:00,42.16,-0.06767009420467962,0
CAKE,2021-04-28 16:00:00,441.88,0.01906446821647012,1
META,2021-04-28 16:00:00,40.65,0.09588265464844414,1
TXRH,2021-04-29 16:00:00,54.84,-0.012653120762441517,0
FND,2021-05-06 16:00:00,26.26,-0.16879146654397026,0
SFM,2021-05-06 16:00:00,16.67,0.05705466060468556,1
APPF,2021-05-10 16:00:00,-13.24,-0.034491708286814915,0
DECK,2021-05-20 16:00:00,72.37,0.019008440737674492,1
OLLI,2021-05-27 16:00:00,28.11,0.06409597339610718,1
FIVE,2021-06-03 16:00:00,34.86,0.028936709443147968,1
RH,2021-06-09 16:00:00,18.75,0.10080311208098813,1
CROX,2021-07-22 07:00:00,39.82,0.19366484681509666,1
LII,2021-07-26 07:00:00,3.59,-0.009140454210756155,0
TSLA,2021-07-26 16:00:00,49.86,0.04508202255889737,1
CAKE,2021-07-27 16:00:00,2.08,-0.13682283798457706,0
AAPL,2021-07-27 16:00:00,28.56,-0.023194352988736844,0
MSFT,2021-07-27 16:00:00,12.71,0.040213675326372766,1
WING,2021-07-28 07:00:00,15.55,0.03337858716216613,1
QCOM,2021-07-28 16:00:00,14.11,-0.022353902719582708,0
META,2021-07-28 16:00:00,20.04,0.02766352316516152,1
CHDN,2021-07-28 16:00:00,19.33,0.03741219956836295,1
TXRH,2021-07-29 16:00:00,4.67,-0.03744968055074971,0
DECK,2021-07-29 16:00:00,1608.73,0.0340906921119738,1
FND,2021-08-05 16:00:00,15.33,0.0029932881655365673,1
SFM,2021-08-05 16:00:00,17.18,-0.04073793592172914,0
APPF,2021-08-08 21:00:00,-24.74,-0.1787860572621539,0
OLLI,2021-08-26 16:00:00,-5.68,-0.2570357240035869,0
FIVE,2021-09-01 16:00:00,2.37,-0.2614967270101375,0
RH,2021-09-08 16:00:00,30.6,-0.03738653136316494,0
TSLA,2021-10-20 15:00:00,15.22,0.25165807482153624,1
CROX,2021-10-21 07:00:00,32.64,0.20350392167599518,1
